IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.169.80.29,443,443,true,LAX,North America,Los Angeles,307,11.26
135.225.55.69,8443,443,true,ARN,Europe,Stockholm,506,11.08
51.12.217.144,443,443,true,ARN,Europe,Stockholm,200,11.03
74.241.209.111,2053,443,true,ARN,Europe,Stockholm,354,10.84
74.241.209.111,8443,443,true,ARN,Europe,Stockholm,380,10.44
74.249.233.213,443,443,true,ORD,North America,Chicago,483,9.29
20.127.201.36,443,443,true,EWR,North America,Newark,468,9.22
20.221.32.145,443,443,true,ORD,North America,Chicago,360,9.13
20.151.60.161,8443,443,true,YYZ,North America,Toronto,286,9.00
4.255.56.137,443,443,true,EWR,North America,Newark,453,8.83
158.23.48.187,8443,443,true,DFW,North America,Dallas,220,8.66
20.33.62.19,2083,443,true,LHR,Europe,London,205,8.62
158.23.48.187,2053,443,true,DFW,North America,Dallas,379,8.62
158.23.81.224,2053,443,true,DFW,North America,Dallas,257,8.56
158.23.169.65,2053,443,true,DFW,North America,Dallas,207,8.54
158.23.81.224,8443,443,true,DFW,North America,Dallas,345,8.47
20.84.117.28,443,443,true,IAD,North America,Ashburn,359,8.44
4.172.225.82,8443,443,true,YYZ,North America,Toronto,352,8.44
158.23.169.65,8443,443,true,DFW,North America,Dallas,248,8.40
13.68.186.91,443,443,true,EWR,North America,Newark,554,8.36
20.151.63.165,8443,443,true,YYZ,North America,Toronto,220,8.35
4.239.248.70,8443,443,true,YYZ,North America,Toronto,504,8.31
20.36.131.211,443,443,true,IAD,North America,Ashburn,476,8.21
20.121.115.188,443,443,true,EWR,North America,Newark,437,8.14
20.228.249.211,2053,443,true,IAD,North America,Ashburn,428,8.09
20.228.249.211,8443,443,true,IAD,North America,Ashburn,267,8.05
52.165.82.62,443,443,true,ORD,North America,Chicago,281,8.01
40.123.41.147,8443,443,true,IAD,North America,Ashburn,392,8.00
172.177.248.69,8443,443,true,IAD,North America,Ashburn,491,7.97
48.217.34.120,443,443,true,EWR,North America,Newark,525,7.94
20.151.90.208,8443,443,true,YYZ,North America,Toronto,327,7.94
20.62.202.159,443,443,true,EWR,North America,Newark,364,7.90
4.206.223.188,8443,443,true,YYZ,North America,Toronto,272,7.86
20.220.29.122,8443,443,true,YYZ,North America,Toronto,469,7.83
20.246.127.166,443,443,true,IAD,North America,Ashburn,309,7.70
4.172.225.98,8443,443,true,YYZ,North America,Toronto,307,7.70
20.109.23.42,443,443,true,IAD,North America,Ashburn,504,7.68
20.151.238.192,8443,443,true,YYZ,North America,Toronto,319,7.61
40.123.42.160,8443,443,true,IAD,North America,Ashburn,408,7.42
104.46.111.142,8443,443,true,IAD,North America,Ashburn,363,7.40
40.123.47.252,8443,443,true,IAD,North America,Ashburn,415,7.36
172.212.108.47,443,443,true,IAD,North America,Ashburn,327,7.29
172.200.2.241,443,443,true,IAD,North America,Ashburn,433,7.09
4.248.47.209,8443,443,true,YUL,North America,Montréal,392,6.96
104.46.101.90,8443,443,true,IAD,North America,Ashburn,283,6.95
40.79.73.114,8443,443,true,IAD,North America,Ashburn,328,6.82
137.116.91.147,8443,443,true,IAD,North America,Ashburn,311,6.25
172.208.44.21,443,443,true,EWR,North America,Newark,264,6.11
20.200.127.8,8443,443,true,YYZ,North America,Toronto,459,6.09
4.221.60.243,8443,443,true,JNB,Africa,Johannesburg,369,5.39
4.221.60.243,2053,443,true,JNB,Africa,Johannesburg,356,4.60
172.210.128.52,2053,443,true,IAD,North America,Ashburn,381,4.04
191.235.86.71,2053,443,true,GRU,South America,São Paulo,326,3.85
172.210.128.52,8443,443,true,IAD,North America,Ashburn,335,3.84
191.235.86.71,8443,443,true,GRU,South America,São Paulo,465,3.82
20.52.104.187,443,443,true,KIX,Asia Pacific,Osaka,515,3.72
13.88.29.102,443,443,true,SJC,North America,San Jose,341,2.87
135.225.53.9,8443,443,true,ARN,Europe,Stockholm,439,0.19
135.225.53.9,2053,443,true,ARN,Europe,Stockholm,350,0.18
20.220.204.217,443,443,true,YYZ,North America,Toronto,381,0.08
20.204.43.57,80,443,false,BOM,Asia Pacific,Mumbai,80,0.06
137.116.251.154,80,443,false,DUB,Europe,Dublin,165,0.02
52.226.76.91,80,443,false,IAD,North America,Ashburn,239,0.02
13.90.157.110,80,443,false,EWR,North America,Newark,221,0.02
52.163.67.59,80,80,false,SIN,Asia Pacific,Singapore,56,0.00
20.48.5.180,80,80,false,NRT,Asia Pacific,Tokyo,95,0.00
40.66.63.160,80,80,false,CDG,Europe,Paris,149,0.00
104.40.244.228,80,80,false,AMS,Europe,Amsterdam,152,0.00
51.143.162.160,80,80,false,LHR,Europe,London,152,0.00
13.95.193.125,80,443,false,AMS,Europe,Amsterdam,153,0.00
20.58.24.221,2086,2086,false,LHR,Europe,London,153,0.00
51.140.44.206,2086,2086,false,LHR,Europe,London,154,0.00
51.140.191.188,2086,2086,false,LHR,Europe,London,158,0.00
51.145.10.26,80,8080,false,LHR,Europe,London,159,0.00
51.141.162.228,80,80,false,SEA,North America,Seattle,161,0.00
172.179.181.196,80,80,false,SEA,North America,Seattle,171,0.00
20.240.150.112,8080,80,false,ARN,Europe,Stockholm,175,0.00
52.136.113.156,80,8080,false,EWR,North America,Newark,221,0.00
172.191.74.198,8080,80,false,IAD,North America,Ashburn,222,0.00
20.119.73.200,80,80,false,EWR,North America,Newark,224,0.00
172.178.124.168,80,80,false,EWR,North America,Newark,226,0.00
172.210.57.202,80,80,false,IAD,North America,Ashburn,228,0.00
51.140.154.44,2086,2086,false,LHR,Europe,London,233,0.00
4.255.56.138,80,80,false,EWR,North America,Newark,235,0.00
4.255.56.137,80,80,false,ORD,North America,Chicago,242,0.00
172.174.249.255,80,80,false,EWR,North America,Newark,253,0.00
20.83.149.174,443,443,true,EWR,North America,Newark,465,0.00
