IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.240.254.247,2053,443,true,ARN,Europe,Stockholm,252,11.48
135.225.118.68,2053,443,true,ARN,Europe,Stockholm,178,11.47
74.241.209.111,8443,443,true,ARN,Europe,Stockholm,305,11.41
4.219.15.140,2053,443,true,CPH,Europe,Copenhagen,171,11.33
20.169.80.29,443,443,true,LAX,North America,Los Angeles,181,11.19
20.217.216.51,2053,443,true,VIE,Europe,Vienna,218,10.99
51.145.238.40,8443,443,true,AMS,Europe,Amsterdam,457,10.72
20.217.216.51,8443,443,true,VIE,Europe,Vienna,209,10.65
20.33.30.36,2083,443,true,LAX,North America,Los Angeles,238,10.20
20.121.115.188,443,443,true,EWR,North America,Newark,482,9.48
20.33.62.19,2083,443,true,LHR,Europe,London,333,9.26
74.249.233.213,443,443,true,ORD,North America,Chicago,383,8.92
20.221.32.145,443,443,true,ORD,North America,Chicago,224,8.76
158.23.169.65,8443,443,true,DFW,North America,Dallas,211,8.51
158.23.81.224,2053,443,true,DFW,North America,Dallas,303,8.50
172.212.108.47,443,443,true,IAD,North America,Ashburn,345,8.49
158.23.169.65,2053,443,true,DFW,North America,Dallas,219,8.46
158.23.81.224,8443,443,true,DFW,North America,Dallas,316,8.43
4.255.56.138,443,443,true,EWR,North America,Newark,370,8.40
20.62.202.159,443,443,true,EWR,North America,Newark,330,8.24
4.255.56.137,443,443,true,IAD,North America,Ashburn,239,8.19
4.172.225.98,8443,443,true,YYZ,North America,Toronto,233,8.12
20.228.249.211,8443,443,true,EWR,North America,Newark,411,8.03
20.25.205.37,8443,443,true,ORD,North America,Chicago,513,7.88
20.228.249.211,2053,443,true,IAD,North America,Ashburn,226,7.83
172.191.74.198,443,443,true,EWR,North America,Newark,314,7.72
20.36.131.211,443,443,true,IAD,North America,Ashburn,346,7.68
40.79.73.114,8443,443,true,IAD,North America,Ashburn,493,7.63
20.109.23.42,443,443,true,IAD,North America,Ashburn,312,7.58
52.165.82.62,443,443,true,ORD,North America,Chicago,331,7.54
20.220.29.122,8443,443,true,YYZ,North America,Toronto,428,7.51
20.84.117.28,443,443,true,IAD,North America,Ashburn,322,7.48
172.210.128.52,2053,443,true,IAD,North America,Ashburn,267,7.45
20.220.29.122,2053,443,true,YYZ,North America,Toronto,466,7.45
4.172.225.82,8443,443,true,YYZ,North America,Toronto,382,7.33
20.151.60.161,8443,443,true,YYZ,North America,Toronto,389,7.32
172.210.128.52,8443,443,true,IAD,North America,Ashburn,307,7.29
20.151.63.165,8443,443,true,YYZ,North America,Toronto,280,7.22
172.177.248.69,8443,443,true,IAD,North America,Ashburn,393,7.18
4.206.223.188,8443,443,true,YYZ,North America,Toronto,386,7.14
20.200.127.8,8443,443,true,YYZ,North America,Toronto,517,6.95
172.200.2.241,443,443,true,IAD,North America,Ashburn,506,6.87
4.239.248.70,8443,443,true,YYZ,North America,Toronto,410,6.84
20.151.90.208,8443,443,true,YYZ,North America,Toronto,324,6.72
172.174.249.255,443,443,true,EWR,North America,Newark,306,6.67
137.116.91.147,8443,443,true,IAD,North America,Ashburn,412,6.62
4.248.47.209,8443,443,true,YUL,North America,Montréal,396,6.51
40.123.42.160,8443,443,true,IAD,North America,Ashburn,332,6.13
40.123.47.252,8443,443,true,IAD,North America,Ashburn,433,6.07
172.208.44.21,443,443,true,IAD,North America,Ashburn,333,5.95
20.127.201.36,443,443,true,IAD,North America,Ashburn,426,5.62
4.221.60.243,2053,443,true,JNB,Africa,Johannesburg,426,5.36
13.88.29.102,443,443,true,SJC,North America,San Jose,302,4.94
4.221.60.243,8443,443,true,JNB,Africa,Johannesburg,378,4.74
191.235.86.71,2053,443,true,GRU,South America,São Paulo,484,4.04
191.235.86.71,8443,443,true,GRU,South America,São Paulo,481,3.45
20.220.204.217,443,443,true,YYZ,North America,Toronto,240,0.07
20.204.43.57,80,443,false,BOM,Asia Pacific,Mumbai,49,0.06
137.116.251.154,80,443,false,DUB,Europe,Dublin,191,0.02
13.90.157.110,80,443,false,EWR,North America,Newark,251,0.02
52.226.76.91,80,443,false,EWR,North America,Newark,228,0.02
52.163.67.59,80,80,false,SIN,Asia Pacific,Singapore,50,0.00
40.66.63.160,80,80,false,CDG,Europe,Paris,146,0.00
51.143.162.160,80,80,false,LHR,Europe,London,150,0.00
51.145.10.26,80,8080,false,LHR,Europe,London,152,0.00
51.140.191.188,2086,2086,false,LHR,Europe,London,153,0.00
51.140.44.206,2086,2086,false,LHR,Europe,London,155,0.00
20.58.24.221,2086,2086,false,LHR,Europe,London,155,0.00
104.40.244.228,80,80,false,AMS,Europe,Amsterdam,156,0.00
172.179.181.196,80,80,false,SEA,North America,Seattle,162,0.00
51.141.162.228,80,80,false,SEA,North America,Seattle,163,0.00
20.240.150.112,8080,80,false,ARN,Europe,Stockholm,178,0.00
13.95.193.125,80,443,false,AMS,Europe,Amsterdam,202,0.00
20.119.73.200,80,80,false,EWR,North America,Newark,221,0.00
172.191.74.198,8080,80,false,EWR,North America,Newark,221,0.00
172.174.239.7,80,80,false,EWR,North America,Newark,221,0.00
172.178.124.168,80,80,false,EWR,North America,Newark,223,0.00
172.174.249.255,80,80,false,EWR,North America,Newark,223,0.00
4.255.56.137,80,80,false,IAD,North America,Ashburn,223,0.00
52.136.113.156,80,8080,false,EWR,North America,Newark,223,0.00
4.255.56.138,80,80,false,IAD,North America,Ashburn,230,0.00
20.48.5.180,80,80,false,NRT,Asia Pacific,Tokyo,239,0.00
172.210.57.202,80,80,false,EWR,North America,Newark,241,0.00
51.140.154.44,2086,2086,false,LHR,Europe,London,342,0.00
104.40.244.228,443,443,true,AMS,Europe,Amsterdam,424,0.00
