IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
79.72.91.125,443,443,true,FRA,Europe,Frankfurt,206,6.45
140.238.225.218,443,443,true,BOM,Asia Pacific,Mumbai,249,6.40
158.101.205.243,443,443,true,FRA,Europe,Frankfurt,419,6.37
130.162.176.230,443,443,true,FRA,Europe,Frankfurt,399,6.35
130.162.61.245,443,443,true,FRA,Europe,Frankfurt,368,6.32
79.72.83.200,443,443,true,FRA,Europe,Frankfurt,178,6.31
130.162.165.35,443,443,true,FRA,Europe,Frankfurt,415,6.22
158.101.206.127,443,443,true,FRA,Europe,Frankfurt,396,6.12
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,204,6.12
130.162.180.20,443,443,true,FRA,Europe,Frankfurt,372,6.07
130.162.164.76,443,443,true,FRA,Europe,Frankfurt,418,6.07
144.21.59.186,443,443,true,FRA,Europe,Frankfurt,396,6.05
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,271,6.01
152.70.69.199,443,443,true,BOM,Asia Pacific,Mumbai,165,5.99
130.162.185.211,443,443,true,FRA,Europe,Frankfurt,431,5.99
164.152.26.70,2086,443,true,ORD,North America,Chicago,274,5.90
129.159.22.4,443,443,true,BOM,Asia Pacific,Mumbai,257,5.85
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,220,5.84
129.146.220.190,443,443,true,LAX,North America,Los Angeles,327,5.81
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,217,5.79
79.76.106.155,443,443,true,FRA,Europe,Frankfurt,347,5.78
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,228,5.77
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,167,5.76
132.145.54.84,8443,443,true,LHR,Europe,London,208,5.69
146.56.101.141,443,443,true,ICN,Asia Pacific,Seoul,206,5.66
130.162.218.204,443,443,true,FRA,Europe,Frankfurt,338,5.66
130.162.208.46,443,443,true,FRA,Europe,Frankfurt,285,5.64
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,260,5.62
193.123.228.139,2053,443,true,ICN,Asia Pacific,Seoul,238,5.61
217.142.243.226,443,443,true,KIX,Asia Pacific,Osaka,149,5.60
130.162.255.48,443,443,true,FRA,Europe,Frankfurt,318,5.58
130.162.235.34,443,443,true,FRA,Europe,Frankfurt,356,5.56
129.151.204.91,443,443,true,ARN,Europe,Stockholm,352,5.47
150.230.63.93,443,443,true,KIX,Asia Pacific,Osaka,188,5.44
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,264,5.41
144.21.52.27,443,443,true,FRA,Europe,Frankfurt,375,5.40
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,143,5.39
146.56.46.84,443,443,true,ICN,Asia Pacific,Seoul,178,5.37
144.24.90.107,443,443,true,ICN,Asia Pacific,Seoul,351,5.36
143.47.243.144,2053,443,true,LHR,Europe,London,356,5.35
192.9.180.162,443,443,true,SYD,Oceania,Sydney,426,5.35
146.56.176.143,443,443,true,ICN,Asia Pacific,Seoul,221,5.35
143.47.232.90,443,443,true,FRA,Europe,Frankfurt,370,5.30
129.151.148.35,443,443,true,DXB,Middle East,Dubai,226,5.25
64.110.98.49,443,443,true,KIX,Asia Pacific,Osaka,74,5.19
152.67.233.64,443,443,true,SJC,North America,San Jose,255,5.07
152.70.235.207,443,443,true,ICN,Asia Pacific,Seoul,262,5.04
129.159.34.122,443,443,true,SJC,North America,San Jose,210,5.02
130.162.251.52,443,443,true,FRA,Europe,Frankfurt,327,4.96
143.47.239.34,443,443,true,FRA,Europe,Frankfurt,275,4.89
132.145.54.84,2053,443,true,LHR,Europe,London,287,4.87
158.101.199.249,8443,443,true,AMS,Europe,Amsterdam,448,4.83
141.145.205.115,8443,8443,true,CDG,Europe,Paris,665,4.81
130.162.176.73,443,443,true,FRA,Europe,Frankfurt,377,4.79
130.162.168.212,443,443,true,FRA,Europe,Frankfurt,323,4.79
152.70.112.158,443,443,true,SJC,North America,San Jose,283,4.74
152.67.231.219,443,443,true,SJC,North America,San Jose,239,4.68
89.168.95.22,2052,443,true,FRA,Europe,Frankfurt,284,4.67
152.70.57.182,443,443,true,AMS,Europe,Amsterdam,444,4.63
155.248.202.141,443,443,true,SJC,North America,San Jose,350,4.61
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,274,4.60
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,279,4.59
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,336,4.59
158.101.175.51,443,443,true,FRA,Europe,Frankfurt,437,4.58
146.235.219.98,443,443,true,SJC,North America,San Jose,267,4.56
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,325,4.55
150.136.240.243,443,443,true,IAD,North America,Ashburn,293,4.53
152.70.88.98,443,443,true,ICN,Asia Pacific,Seoul,380,4.49
141.148.242.113,8443,443,true,AMS,Europe,Amsterdam,370,4.48
129.146.47.72,443,443,true,LAX,North America,Los Angeles,199,4.43
158.178.192.221,443,443,true,CDG,Europe,Paris,347,4.42
143.47.230.72,443,443,true,FRA,Europe,Frankfurt,402,4.36
158.101.175.51,443,443,true,FRA,Europe,Frankfurt,418,4.33
141.147.85.167,8443,443,true,LHR,Europe,London,261,4.30
155.248.196.123,443,443,true,YYZ,North America,Toronto,252,4.28
132.226.31.178,443,443,true,LAX,North America,Los Angeles,215,4.26
143.47.242.195,443,443,true,LHR,Europe,London,395,4.23
129.159.47.255,443,443,true,SJC,North America,San Jose,241,4.23
158.179.203.23,443,443,true,OSL,Europe,Oslo,338,4.20
144.21.38.164,443,443,true,FRA,Europe,Frankfurt,322,4.18
129.151.198.3,8443,443,true,ARN,Europe,Stockholm,243,4.18
158.101.24.17,443,443,true,LAX,North America,Los Angeles,306,4.15
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,234,4.09
152.67.78.184,443,443,true,ZRH,Europe,Zurich,179,4.09
143.47.255.200,443,443,true,FRA,Europe,Frankfurt,299,4.08
129.159.130.38,443,443,true,TLV,Middle East,Tel Aviv,438,4.03
193.122.107.147,443,443,true,ICN,Asia Pacific,Seoul,225,3.99
89.168.68.57,8443,443,true,FRA,Europe,Frankfurt,257,3.98
158.178.206.197,2053,443,true,CDG,Europe,Paris,286,3.95
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,256,3.87
129.151.198.3,2053,443,true,ARN,Europe,Stockholm,308,3.80
129.154.59.99,443,443,true,ICN,Asia Pacific,Seoul,224,3.78
129.153.126.67,443,443,true,LAX,North America,Los Angeles,399,3.73
129.213.136.180,443,443,true,IAD,North America,Ashburn,317,3.68
168.138.141.235,2053,443,true,GRU,South America,São Paulo,373,3.54
144.21.51.51,2053,443,true,LHR,Europe,London,301,3.46
146.235.211.70,2083,443,true,SJC,North America,San Jose,352,3.42
193.122.1.0,2053,443,true,FRA,Europe,Frankfurt,316,3.42
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,450,3.16
150.136.121.64,80,443,true,IAD,North America,Ashburn,256,3.09
150.230.20.156,8443,443,true,AMS,Europe,Amsterdam,435,3.07
89.168.43.31,8443,443,true,CDG,Europe,Paris,408,3.01
143.47.248.164,443,443,true,FRA,Europe,Frankfurt,328,2.90
143.47.232.140,443,443,true,FRA,Europe,Frankfurt,341,2.89
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,482,2.88
165.1.123.204,443,443,true,SCL,South America,Santiago,368,2.86
144.22.252.124,443,443,true,GRU,South America,São Paulo,402,2.81
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,346,2.71
144.24.243.207,443,443,true,MXP,Europe,Milan,448,2.71
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,395,2.69
129.159.132.0,2053,443,true,TLV,Middle East,Tel Aviv,444,2.57
141.144.198.113,8443,443,true,AMS,Europe,Amsterdam,228,2.51
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,289,2.43
140.83.61.244,443,443,true,KIX,Asia Pacific,Osaka,299,2.42
141.144.198.113,2053,443,true,AMS,Europe,Amsterdam,244,2.40
193.122.61.183,443,443,true,FRA,Europe,Frankfurt,282,2.30
129.159.132.0,8443,443,true,TLV,Middle East,Tel Aviv,284,2.30
89.168.43.31,2053,443,true,CDG,Europe,Paris,387,2.23
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,295,2.17
158.180.49.11,2053,443,true,FRA,Europe,Frankfurt,252,2.15
129.159.83.88,8443,443,true,ORD,North America,Chicago,255,2.14
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,379,2.06
150.230.196.248,443,443,true,NRT,Asia Pacific,Tokyo,221,1.97
150.230.20.156,2053,443,true,AMS,Europe,Amsterdam,315,1.95
152.70.248.96,443,443,true,ICN,Asia Pacific,Seoul,667,1.79
132.226.163.224,2053,443,true,GRU,South America,São Paulo,386,1.56
193.122.1.0,8443,443,true,FRA,Europe,Frankfurt,406,1.42
146.235.211.70,2082,443,true,SJC,North America,San Jose,328,1.34
132.226.163.224,8443,443,true,GRU,South America,São Paulo,381,1.32
143.47.252.43,443,443,true,FRA,Europe,Frankfurt,294,1.30
158.178.206.197,8443,443,true,CDG,Europe,Paris,211,1.19
130.162.184.173,443,443,true,LHR,Europe,London,336,1.07
141.144.253.109,443,443,true,FRA,Europe,Frankfurt,241,1.02
89.168.68.57,2053,443,true,FRA,Europe,Frankfurt,300,0.99
129.153.39.213,2053,443,true,IAD,North America,Ashburn,280,0.99
158.180.49.11,8443,443,true,FRA,Europe,Frankfurt,243,0.96
144.21.51.51,8443,443,true,LHR,Europe,London,429,0.81
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,332,0.68
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,304,0.61
129.153.39.213,8443,443,true,IAD,North America,Ashburn,308,0.54
168.138.51.142,443,443,true,KIX,Asia Pacific,Osaka,230,0.19
129.159.84.71,443,443,true,EWR,North America,Newark,320,0.15
134.65.59.100,443,443,true,LHR,Europe,London,165,0.02
141.148.219.182,80,80,false,MAA,Asia Pacific,Chennai,62,0.00
146.235.17.31,443,443,true,SIN,Asia Pacific,Singapore,55,0.00
152.67.222.250,80,80,false,ICN,Asia Pacific,Seoul,70,0.00
168.138.47.238,8443,80,false,KIX,Asia Pacific,Osaka,77,0.00
158.179.164.17,2052,2052,false,ICN,Asia Pacific,Seoul,80,0.00
193.122.125.14,8880,8880,false,ICN,Asia Pacific,Seoul,93,0.00
140.238.29.117,443,80,false,ICN,Asia Pacific,Seoul,101,0.00
146.56.133.140,2096,80,false,ICN,Asia Pacific,Seoul,102,0.00
150.230.62.27,443,80,false,KIX,Asia Pacific,Osaka,103,0.00
193.123.233.143,2096,80,false,ICN,Asia Pacific,Seoul,104,0.00
193.123.233.143,2083,80,false,ICN,Asia Pacific,Seoul,105,0.00
140.238.1.157,2052,2052,false,ICN,Asia Pacific,Seoul,108,0.00
140.238.1.157,2052,2052,false,ICN,Asia Pacific,Seoul,111,0.00
193.123.228.139,2086,2086,false,ICN,Asia Pacific,Seoul,112,0.00
193.122.114.161,2052,2086,false,ICN,Asia Pacific,Seoul,113,0.00
146.56.133.140,2083,80,false,ICN,Asia Pacific,Seoul,122,0.00
140.238.19.2,443,80,false,ICN,Asia Pacific,Seoul,124,0.00
213.35.105.46,443,443,true,SIN,Asia Pacific,Singapore,134,0.00
193.123.228.139,8880,80,false,ICN,Asia Pacific,Seoul,156,0.00
130.162.128.34,2052,80,false,ICN,Asia Pacific,Seoul,168,0.00
143.47.179.237,80,80,false,AMS,Europe,Amsterdam,172,0.00
193.122.114.161,2052,2086,false,ICN,Asia Pacific,Seoul,179,0.00
152.67.249.123,443,443,true,SJC,North America,San Jose,180,0.00
146.235.204.107,80,80,false,SJC,North America,San Jose,181,0.00
129.154.50.220,443,443,true,ICN,Asia Pacific,Seoul,182,0.00
165.1.76.23,80,80,false,SJC,North America,San Jose,191,0.00
158.101.148.105,443,443,true,NRT,Asia Pacific,Tokyo,199,0.00
140.83.57.116,8443,80,false,KIX,Asia Pacific,Osaka,210,0.00
144.24.200.164,80,80,false,MRS,Europe,Marseille,219,0.00
132.145.82.209,443,443,true,ICN,Asia Pacific,Seoul,224,0.00
144.24.76.213,2052,2052,false,ICN,Asia Pacific,Seoul,232,0.00
89.168.122.44,80,80,false,FRA,Europe,Frankfurt,237,0.00
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,246,0.00
152.67.222.167,443,443,true,ICN,Asia Pacific,Seoul,259,0.00
141.148.137.163,80,80,false,LAX,North America,Los Angeles,276,0.00
141.147.161.250,443,443,true,NRT,Asia Pacific,Tokyo,281,0.00
140.238.195.98,443,443,true,SYD,Oceania,Sydney,284,0.00
193.123.228.139,2052,80,false,ICN,Asia Pacific,Seoul,301,0.00
168.138.212.80,443,443,true,NRT,Asia Pacific,Tokyo,337,0.00
192.18.140.32,443,443,true,SJC,North America,San Jose,407,0.00
164.152.34.166,80,8080,false,GRU,South America,São Paulo,418,0.00
129.80.188.174,2096,443,true,DFW,North America,Dallas,421,0.00
129.146.240.62,443,443,true,LAX,North America,Los Angeles,423,0.00
144.24.200.164,443,443,true,MRS,Europe,Marseille,441,0.00
192.18.148.248,443,443,true,YYZ,North America,Toronto,531,0.00
